2021-06-07 17:56:52,069 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:56:52,070 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:56:52,072 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:56:52,074 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:58:00,861 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:58:00,863 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:58:00,865 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:58:00,869 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:58:54,873 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:58:54,875 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:58:54,876 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:58:54,878 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:00:51,203 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:00:51,204 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:00:51,206 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:00:51,208 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:01:25,947 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:01:25,948 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
